timestamp,CPU0,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,CPU7,CPU8,CPU9,CPU10,CPU11,CPU12,CPU13,CPU14,CPU15,CPU16,CPU17,CPU18,CPU19,CPU20,CPU21,CPU22,CPU23,CPU24,CPU25,CPU26,CPU27,CPU28,CPU29,CPU30,CPU31,CPU32,CPU33,CPU34,CPU35,CPU36,CPU37,CPU38,CPU39,CPU40,CPU41,CPU42,CPU43,CPU44,CPU45,CPU46,CPU47,CPU48,CPU49,CPU50,CPU51,CPU52,CPU53,CPU54,CPU55
2026-01-28 18:00:16,1267450,1200000,1199189,2000000,1197705,1895661,1197317,2000000,1200000,1197239,1200000,1994450,1200000,1895213,1200000,1895809,1200000,1896415,1200000,1894656,1200000,1995204,1200000,2499877,1200000,1894847,1200000,1888834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28 18:00:17,2142114,1898103,1197287,1885852,1200000,1895562,1200000,1906753,1200000,1902266,1200000,1844747,1200000,1967778,1200000,1896531,1200000,1895370,1200000,1895101,1200000,1897309,1200000,1200814,1200000,1964753,1200000,1901081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28 18:00:18,1237985,1200000,1197180,1896183,1200000,1895459,1200000,1900416,1200000,1896249,1200000,1878522,1200000,1895795,1200000,1897417,1200000,1894791,1200000,1896092,1200000,1896291,1200000,1896133,1200000,1895629,1200000,1998411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28 18:00:19,1197236,1884961,1200000,1896205,1200000,1895742,1200000,1895655,1200000,1883251,1200000,1995314,1200000,1895559,1200000,1995350,1200000,1897877,1200000,1895753,1200000,1914342,1200000,1897940,1200000,1895483,1200000,1995378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28 18:00:20,1197257,1197252,1200000,1984595,1200000,1995423,1200000,1995381,1200000,1994986,1200000,1900881,1200000,1895709,1200000,2000376,1200000,1995557,1200000,1999662,1200000,1896365,1200000,1999466,1200000,1995620,1200000,2493237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28 18:00:21,1197258,1197279,1200000,1987761,1200000,1995433,1200000,2000528,1200000,2061556,1200000,1895599,1200000,1895403,1200000,1995413,1200000,1995406,1200000,1896273,1363151,1900317,1200000,1995424,1200000,1995461,1200000,1996124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28 18:00:23,1342849,1830622,1197233,1200000,1200000,1200000,2100000,2494032,1626832,1896036,1565934,1889580,1200000,1890673,1900000,1895447,1200000,1895653,1200000,1896016,1200000,1197182,1200000,2495115,1200000,2497515,1200000,1995450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28 18:00:24,1197345,1200000,1200000,1200000,1200000,1895300,3000000,2475734,1900000,1900000,1200000,1854272,1900000,1946945,1800000,2494329,1900000,1197289,1900000,1896547,1200000,1196933,1200000,1896370,1197244,2494246,1994662,2494122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28 18:00:25,1197265,1998762,1192270,1905315,1200000,1995353,1200000,1895098,1200000,1896475,1200000,1852795,1200000,1895612,1200000,1894199,1900000,1895153,1900000,1994442,1200000,1896414,1200000,1895977,1200000,1995371,1200000,1895693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28 18:00:26,1245843,1895693,1200000,1898265,1200000,1997557,1200000,1922742,1200000,1895496,1200000,1995986,1200000,1900980,1200000,1895640,1900000,1897889,1900000,1896170,1200000,1908234,1200000,1895831,1200000,1999542,1200000,1894979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28 18:00:27,2083179,1895536,1200000,1895237,1200000,1198478,1200000,1896046,1200000,1197259,1200000,1911771,1200000,1895824,1200000,1928128,1900000,1896485,1900000,1995467,1200000,1895642,1200000,1998869,1200000,2515490,1200000,2000228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28 18:00:28,1312477,1895721,1200000,1896071,1200000,1995263,1200000,1995381,1200000,1884470,1200000,1895409,1200000,1895638,1200000,1197098,1900000,1999813,1200000,1895269,1200000,1988452,1200000,1992944,1200000,1995030,1200000,1995555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28 18:00:29,1197302,1895192,1197302,1901898,1200000,1895212,1200000,1895646,1200000,1995195,1200000,1919709,1200000,1998954,1200000,1896158,1900000,1556921,1200000,1994898,1200000,1895685,1200000,1927472,1200000,1896648,1200000,1997851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28 18:00:30,1951073,1900553,1199714,1996508,1200000,1895803,1200000,1896685,1200000,1499727,1197186,1994062,1200000,1901838,1200000,2000484,1900000,1895168,1200000,1995217,1200000,1995412,1200000,1995918,1200000,1995137,1200000,1995227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28 18:00:32,2220206,1200000,1201246,1200000,1200000,1197852,1200000,1888127,1200000,1995467,1200000,1995467,1200000,1902486,1200000,1896182,1900000,1995420,1200000,1895041,1200000,1894550,1197195,1895692,1200000,1995467,1200000,1897596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28 18:00:33,1197230,1200000,1198373,1894221,1200000,1202612,1200000,1995417,1200000,1880162,1200000,1896187,1200000,1898108,1200000,1894262,1900000,2008061,1200000,1989197,1200000,1896805,1200000,1874628,1200000,1995497,1200000,1995467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28 18:00:34,1296837,1200000,1200000,1200000,1197244,1968006,1200000,1995379,1200000,1983723,1200000,1995392,1200000,1887710,1200000,1995687,1900000,2016621,1200000,1896149,1200000,1897045,1200000,1895732,1200000,1890530,1200000,1896668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28 18:00:35,1197235,1200000,1200000,1200000,1197236,1200000,1200000,1895225,1200000,1197297,1200000,2041498,1200000,1900108,1200000,1962890,1900000,1896114,1200000,1994988,1200000,1896025,1200000,1995397,1200000,1895985,1200000,1995932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28 18:00:36,1509410,1200000,1200000,1200000,1197184,1200000,1200000,1197192,1200000,1995692,1200000,1897510,1200000,1895662,1200000,1895540,1900000,2018388,1200000,1995585,1200000,1895316,1200000,1895653,1200000,1898148,1200000,1994313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28 18:00:37,1400563,3000000,1197218,1200000,1200000,1200000,1200000,1199490,1200000,1197198,1200000,1895590,1200000,1897117,1200000,1894629,1900000,1896532,1200000,1894559,1200000,1997135,1200000,1895970,1200000,1981301,1200000,1896214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28 18:00:38,1196710,3000000,1213973,1200000,1197438,2000000,1200000,2100000,1200000,1935372,1200000,1875384,1200000,1895688,1200000,1900000,1900000,1995224,1200000,1994550,1200000,1996436,1200000,1895756,1200000,1995191,1200000,1974229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28 18:00:39,1745825,1200000,1197261,1200000,1200591,2496115,1200000,1896538,1200000,1200000,1200000,1896017,1200000,1895178,1200000,1895212,1900000,2494294,1200000,1995919,1197774,1198764,1197302,2497884,1312438,2494312,1197638,2494190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28 18:00:41,1804987,1200000,1340589,1200000,1649049,2494039,1197280,1994415,3000000,1897218,1200000,1926559,1900000,1200000,1900000,2496542,1800000,1895705,2000000,1883381,1900000,1896617,1200000,1996375,3000000,1995447,2000000,1895797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28 18:00:42,1808691,1200000,1200000,1897976,1200000,1999680,1900000,1995850,2000000,1894610,1200000,1896115,2000000,1895770,2100000,1896290,1200000,1894966,1200000,1894206,1200000,1994548,1180111,1995780,1200000,1894148,2000000,1892461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28 18:00:43,2146134,1200000,1200000,1197300,1200000,1200656,1900000,1895359,1200000,1895856,1200000,1926073,2000000,1995952,2100000,1895661,1200000,1896243,1200000,1999435,1200000,1896132,1200000,1897739,1200000,1895506,2000000,1995467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28 18:00:44,1240902,1200000,1200000,2000000,1200000,2100000,1900000,1197382,1200000,1896253,1200000,1894293,2000000,2000569,2100000,1895301,1200000,1366559,1200000,1895678,1200000,1872179,1200000,2006342,1200000,1892689,2000000,1897771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28 18:00:45,1197736,1200000,1200000,1197308,1200000,1200000,1200000,1200000,1200000,1999952,1200000,2001390,2000000,1881507,1200000,1985739,1200000,1895142,1200000,1896044,1200000,1895751,1200000,1896475,1200000,1895205,1200000,1994500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28 18:00:46,1240747,3000000,1200000,1200000,1200000,2000000,1200000,1200000,1200000,2100000,1200000,1202161,1200000,1999405,1200000,2496956,1200000,1994767,1200000,1987807,1200000,1895650,1200000,2001101,1200000,1995696,1200000,1995131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28 18:00:47,1444540,1476436,1197384,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1197241,1896770,1197169,1995467,1200000,1995245,1200000,1995147,1200000,1895691,1200000,1996995,1200000,1995467,1200000,1896046,1200000,1997269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28 18:00:48,1604732,1200000,1203125,1200000,1200000,2000000,1200000,1198093,1200000,1900000,1200000,1999472,1200000,1900000,1200000,2367666,1200000,1895659,1200000,1998276,1200000,1996715,1200000,1896158,1200000,1995710,1200000,1993950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28 18:00:50,1877727,1200000,1197256,1200000,1197830,1895684,1200000,1896851,1200000,1888738,1200000,1993964,1200000,1900636,1200000,1895485,1200000,1895681,1200000,1894623,1200000,1895781,1200000,1996434,1200000,2013302,1200000,1895983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28 18:00:51,1816354,1984090,1197137,1995407,1200000,1901283,1200000,1896963,1200000,1895458,1200000,1895656,1200000,1895623,1200000,1999050,1200000,1895656,1200000,1198390,1200000,1900288,1200000,2494615,1200000,1995382,1200000,1996088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28 18:00:52,1641149,1897025,1197235,1910921,1200000,1896064,1200000,1912540,1200000,1896861,1200000,1895368,1200000,1894934,1200000,1895697,1200000,1896706,1200000,1895990,1200000,1895786,1200000,2498923,1200000,2494341,1200000,1895445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28 18:00:53,1197749,1197646,1197473,1897669,1200000,1897393,1200000,1897012,1200000,1895693,1200000,1895560,1200000,1893826,1200000,1895664,1200000,1900289,1200000,1896660,1200000,1994711,1200000,2494221,1200000,2501749,1200000,1899423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28 18:00:54,1806713,1896594,1197266,1892385,1200000,1895573,1200000,1999054,1200000,1896318,1200000,1895636,1200000,1995045,1200000,1899135,1200000,1894963,1200000,1995697,1200000,1969417,1200000,1995415,1200000,1998568,1200000,1995397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28 18:00:55,1197268,1197259,1196770,1898093,1200000,1895277,1200000,1895655,1200000,1894706,1200000,1896679,1200000,1895242,1200000,1878271,1200000,1907816,1200000,1899624,1200000,1882380,1200000,1999017,1200000,1900030,1200000,1995378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28 18:00:56,1383956,1895682,1197240,1894615,1197100,1995243,1200000,1896768,1200000,1901371,1200000,1893684,1200000,1922314,1200000,2015912,1200000,1895710,1200000,1200000,1200000,1197227,1410048,1197276,1200000,1895419,1200000,1995606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28 18:00:57,1425327,1200000,1469317,1896848,1200000,2494350,2100000,1396826,1900000,1900000,1200000,2000000,2100000,1200000,1700000,1200000,1620764,1896705,1660764,1200000,2459382,1197115,1805191,1895486,1944625,2494399,1613662,1994907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28 18:00:59,1978495,1200000,1200000,1200000,1197250,3000000,1196787,1361732,1900000,1997173,1200000,1895664,2100000,1995916,1700000,1897069,1900000,1894851,2000000,1895059,3000000,2494611,2100000,1895761,3000000,1895561,2000000,1894895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28 18:01:00,1197265,1197270,1200000,1899027,1197134,1896065,1200000,1896119,1200000,1895464,1200000,1882828,2100000,1895147,1700000,1995578,1900000,1902379,2000000,1896404,3000000,2494192,1200000,2494323,3000000,1896784,2000000,1895630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28 18:01:01,1241171,1200000,1197129,1901388,1197286,1893525,1200000,1924831,1200000,1895677,1200000,1899640,2100000,1995467,1700000,1994736,1900000,2010877,2000000,1895942,1200000,2494293,1200000,1995449,3000000,1894209,2000000,1895743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28 18:01:02,1197283,1894466,1200000,1895648,1197195,1895732,1197253,1896811,1200000,1995467,1200000,1896471,1200000,1895980,1700000,1895631,1200000,1906987,2000000,2017875,1200000,2414419,1200000,1894029,3000000,1895682,2000000,1995410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28 18:01:03,1225628,1200000,1195820,1895665,1197307,1898510,1200000,1911118,1200000,1197317,1200000,1999959,1200000,2050304,1700000,1995432,1200000,1900151,1200000,1896576,1200000,1894235,1200000,1998673,1200000,1923296,1200000,1895455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28 18:01:04,1197408,1897869,1200000,1896757,1197234,1896235,1200000,1900638,1200000,1900478,1200000,1995273,1200000,1895830,1700000,1895682,1200000,1995344,1200000,1996597,1200000,2003517,1200000,1895654,1200000,1995078,1200000,1899127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28 18:01:05,1267001,1897041,1200000,1997037,1197240,1895738,1200000,1895626,1200000,1896091,1200000,1897151,1200000,1896165,1700000,1197261,1200000,1895664,1200000,1995467,1200000,1893567,1200000,2494296,1200000,2493307,1200000,1896627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28 18:01:06,1683830,1897003,1185317,1895570,1197355,1995357,1200000,1197280,1200000,1897502,1200000,1900823,1200000,1899579,1700000,1895959,1200000,1997870,1200000,1896670,1200000,1995400,1200000,1995987,1200000,1895331,1200000,1994737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
