0,1769620521.602161000
1,1769620521.656582000
2,1769620521.656989000
3,1769620521.657401000
4,1769620521.657740000
5,1769620521.658098000
6,1769620521.658483000
7,1769620521.658793000
8,1769620521.659105000
9,1769620521.659426000
10,1769620521.659729000
11,1769620521.660030000
12,1769620521.660350000
13,1769620521.660656000
14,1769620521.660965000
15,1769620521.661278000
16,1769620521.661593000
17,1769620521.661964000
18,1769620521.662268000
19,1769620521.662575000
20,1769620521.662916000
21,1769620521.663228000
22,1769620521.663557000
23,1769620521.663855000
24,1769620521.664153000
25,1769620521.664491000
26,1769620521.664792000
27,1769620521.665103000
28,1769620521.665412000
29,1769620521.665712000
30,1769620521.666021000
31,1769620521.666347000
32,1769620521.666689000
33,1769620521.666990000
34,1769620521.667341000
35,1769620521.667647000
36,1769620521.667940000
37,1769620521.668231000
38,1769620521.668560000
39,1769620521.668851000
40,1769620521.669142000
41,1769620521.669475000
42,1769620521.669803000
43,1769620521.670095000
44,1769620521.670419000
45,1769620521.670712000
46,1769620521.671004000
47,1769620521.671295000
48,1769620521.671600000
49,1769620521.671892000
50,1769620521.672189000
51,1769620521.672516000
52,1769620521.672804000
53,1769620521.673094000
54,1769620521.673470000
55,1769620521.673766000
56,1769620521.674061000
57,1769620521.674349000
58,1769620521.674648000
59,1769620521.674942000
60,1769620521.675234000
61,1769620521.675531000
62,1769620521.675861000
63,1769620521.676158000
64,1769620521.676476000
65,1769620521.676780000
66,1769620521.677095000
67,1769620521.677406000
68,1769620521.677727000
69,1769620521.678016000
70,1769620521.678308000
71,1769620521.678608000
72,1769620521.678898000
73,1769620521.679186000
74,1769620521.679499000
75,1769620521.679799000
76,1769620521.680094000
77,1769620521.680397000
78,1769620521.680692000
79,1769620521.680983000
80,1769620521.681281000
81,1769620521.681576000
82,1769620521.681867000
83,1769620521.682152000
84,1769620521.682495000
85,1769620521.682779000
86,1769620521.683079000
87,1769620521.683366000
88,1769620521.683659000
89,1769620521.683946000
90,1769620521.684245000
91,1769620521.684536000
92,1769620521.684824000
93,1769620521.685113000
94,1769620521.685426000
95,1769620521.685714000
96,1769620521.686030000
97,1769620521.686326000
98,1769620521.686623000
99,1769620521.686911000
100,1769620521.687200000
101,1769620521.687513000
102,1769620521.687827000
103,1769620521.688112000
104,1769620521.688416000
105,1769620521.688706000
106,1769620521.688988000
107,1769620521.689299000
108,1769620521.689601000
109,1769620521.689892000
110,1769620521.690175000
111,1769620521.690555000
112,1769620521.690878000
113,1769620521.691269000
114,1769620521.691591000
115,1769620521.691887000
116,1769620521.692184000
117,1769620521.692514000
118,1769620521.692806000
119,1769620521.693113000
120,1769620521.693422000
121,1769620521.693716000
122,1769620521.694009000
123,1769620521.694308000
124,1769620521.694628000
125,1769620521.694956000
126,1769620521.695255000
127,1769620521.695561000
128,1769620521.695863000
129,1769620521.696165000
130,1769620521.696503000
131,1769620521.696795000
132,1769620521.697092000
133,1769620521.697401000
134,1769620521.697699000
135,1769620521.697986000
136,1769620521.698284000
137,1769620521.698585000
138,1769620521.698880000
139,1769620521.699200000
140,1769620521.699516000
141,1769620521.699816000
142,1769620521.700106000
143,1769620521.700423000
144,1769620521.700723000
145,1769620521.701016000
146,1769620521.701305000
147,1769620521.701599000
148,1769620521.701888000
149,1769620521.702180000
150,1769620521.702515000
151,1769620521.702801000
152,1769620521.703096000
153,1769620521.703402000
154,1769620521.703734000
155,1769620521.704021000
156,1769620521.704312000
157,1769620521.704637000
158,1769620521.704949000
159,1769620521.705239000
160,1769620521.705536000
161,1769620521.705834000
162,1769620521.706142000
163,1769620521.706492000
164,1769620521.706783000
165,1769620521.707099000
166,1769620521.707401000
167,1769620521.707694000
168,1769620521.707986000
169,1769620521.708282000
170,1769620521.708613000
171,1769620521.708904000
172,1769620521.709223000
173,1769620521.709545000
174,1769620521.709838000
175,1769620521.710129000
176,1769620521.710456000
177,1769620521.710748000
178,1769620521.711064000
179,1769620521.711356000
180,1769620521.711654000
181,1769620521.711941000
182,1769620521.712226000
183,1769620521.712563000
184,1769620521.712847000
185,1769620521.713161000
186,1769620521.713469000
187,1769620521.713756000
188,1769620521.714037000
189,1769620521.714341000
190,1769620521.714628000
191,1769620521.714916000
192,1769620521.715203000
193,1769620521.715529000
194,1769620521.715822000
195,1769620521.716104000
196,1769620521.716405000
197,1769620521.716692000
198,1769620521.716982000
199,1769620521.717277000
200,1769620521.717567000
201,1769620521.717853000
202,1769620521.718167000
203,1769620521.718509000
204,1769620521.718802000
205,1769620521.719094000
206,1769620521.719398000
207,1769620521.719698000
208,1769620521.719992000
209,1769620521.720284000
210,1769620521.720583000
211,1769620521.720873000
212,1769620521.721161000
213,1769620521.721523000
214,1769620521.721819000
215,1769620521.722107000
216,1769620521.722454000
217,1769620521.722745000
218,1769620521.723028000
219,1769620521.723312000
220,1769620521.723625000
221,1769620521.723909000
222,1769620521.724191000
223,1769620521.724506000
224,1769620521.724791000
225,1769620521.725088000
226,1769620521.725392000
227,1769620521.725671000
228,1769620521.725955000
229,1769620521.726243000
230,1769620521.726566000
231,1769620521.726857000
232,1769620521.727141000
233,1769620521.727486000
234,1769620521.727774000
235,1769620521.728056000
236,1769620521.728350000
237,1769620521.728642000
238,1769620521.728926000
239,1769620521.729207000
240,1769620521.729509000
241,1769620521.729794000
242,1769620521.730076000
243,1769620521.730443000
244,1769620521.730751000
245,1769620521.731031000
246,1769620521.731317000
247,1769620521.731637000
248,1769620521.731945000
249,1769620521.732233000
250,1769620521.732527000
251,1769620521.732809000
252,1769620521.733091000
253,1769620521.733415000
