timestamp,CPU0,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,CPU7,CPU8,CPU9,CPU10,CPU11,CPU12,CPU13,CPU14,CPU15,CPU16,CPU17,CPU18,CPU19,CPU20,CPU21,CPU22,CPU23,CPU24,CPU25,CPU26,CPU27,CPU28,CPU29,CPU30,CPU31,CPU32,CPU33,CPU34,CPU35,CPU36,CPU37,CPU38,CPU39,CPU40,CPU41,CPU42,CPU43,CPU44,CPU45,CPU46,CPU47,CPU48,CPU49,CPU50,CPU51,CPU52,CPU53,CPU54
2026-01-28 18:15:01,1196943,1200000,1196664,1893615,1594645,1197588,1889660,1896157,1279243,2527251,1775753,1896059,1200000,1200000,1200000,1197707,1835038,1200000,1895684,1197253,1897593,1197251,1895647,1197266,1898488,1197250,1197246,1197260,0,0,0,2494281,1197255,1895668,1616189,1896166,1211167,2494297,1197242,1995913,2478326,1995380,1200000,2001408,1198266,1996366,1197244,1197256,1726298,1995265,1211221,1895650,1340187,1995727,1209919
2026-01-28 18:15:02,1196672,1687386,1197159,1896020,1200000,1895158,1200000,1895635,1200000,1995136,1200000,1895700,1200000,1896061,1200000,1993864,1200000,1889605,1200000,1995351,1200000,1895497,1200000,1989654,1200000,1922909,1200000,1995431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28 18:15:03,1269904,1200000,1197207,1197249,1200000,1995414,1200000,1995623,1200000,1930737,1200000,1895604,1200000,1995394,1200000,1893917,1200000,1995206,1200000,1998381,1200000,1894299,1200000,1895709,1200000,1895063,1200000,1895581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28 18:15:04,1197250,1197222,1197128,1896978,1200000,1896528,1200000,1995647,1200000,1665253,1200000,1895658,1200000,1895902,1200000,1896670,1200000,1890456,1200000,1994975,1200000,1896194,1200000,1995438,1200000,1995759,1200000,1895775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28 18:15:05,2494469,1200000,1197245,1895419,1206934,1996762,1200000,1895664,1200000,1197238,1200000,1844220,1200000,1196455,1200000,1995412,1200000,1895609,1200000,1884471,1197332,1895708,1200000,1896762,1900000,1895092,1212967,1895624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28 18:15:07,2169598,1200000,1200633,1200000,1200000,2000000,1200000,1200000,1200000,1922951,1200000,1895108,1200000,1900307,1200000,1895318,1200000,1896013,1200000,1979637,1200000,1895639,1200000,1995192,1200000,1894887,1200000,1970348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28 18:15:08,1197278,1200000,1200000,1197240,1200000,1897421,1200000,1895978,1200000,1896833,1200000,1895676,1200000,1995220,1200000,1995269,1200000,1895633,1200000,1896413,1200000,1895668,1200000,1926731,1200000,1896954,1200000,1995197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28 18:15:09,1614798,1200000,1200000,1200000,1200000,1900000,1200000,2000000,1200000,2000000,1200000,2000000,1200000,1908183,1200000,1898387,1200000,1995939,1200000,1900015,1200000,1999404,1200000,1894862,1200000,1995431,1200000,1784043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28 18:15:10,1197233,1200000,1200000,1197247,1200000,1200000,1200000,1895614,1200000,1895358,1200000,1888677,1200000,1897101,1200000,1886721,1200000,1197226,1200000,1895642,1200000,1895710,1200000,1994757,1200000,1896210,1200000,1895625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28 18:15:11,1772625,1200000,1200000,2100000,1900000,1994538,2000000,1900000,1200000,1995449,1200000,1898536,1200000,1197289,1200000,2000000,1200000,2000037,1200000,1988626,1197153,1895452,1186705,2059481,1200000,2055035,1200000,1894988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28 18:15:12,1197791,1200000,1200000,1895701,1200000,1893529,1200000,1908787,1200000,1897335,1200000,1896069,1200000,1973308,1200000,1895451,1200000,1895638,1200000,1895688,1200000,1895996,1900000,1896131,1200000,1904135,1200000,1995552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28 18:15:13,1197210,1197236,1200000,1895942,1200000,1896830,1200000,1896938,1200000,1897228,1200000,1895855,1200000,1994979,1200000,1995642,1200000,1895262,1200000,1895187,1900000,1895750,1900000,1895692,1200000,1895974,1200000,1995440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28 18:15:14,1799282,1200000,1197166,1895692,1200000,1895638,1200000,1895620,1200000,1900434,1200000,1994745,1200000,1899956,1200000,1995679,1200000,1895611,1200000,1980952,1900000,1895597,1900000,1895684,1200000,1994467,1200000,1923679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28 18:15:15,2100932,1198180,3000000,1896990,1197386,1995309,1200000,1895912,1200000,1995431,1200000,1897375,1200000,1896293,1200000,1897384,1200000,1896040,1200000,1995431,1900000,1895620,1900000,1895660,1200000,2002800,1200000,1896238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28 18:15:17,1197263,1200000,1184489,1200000,1200000,1200000,1200000,1894835,1200000,1995198,1200000,1995023,1200000,1895719,1200000,1896176,1200000,1895618,1200000,1995396,1200000,1895693,1200000,1995646,1200000,1984152,2000000,1902854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28 18:15:18,1197246,1197207,3000000,1197154,1197240,1210798,1200000,1896953,1200000,1895624,1200000,1197284,1200000,2001025,1200000,1895205,1200000,1995387,1200000,1894546,1200000,1896846,1900000,1895851,1200000,1274645,1200000,1995680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28 18:15:19,1404562,1200000,3000000,1224899,1200000,1197172,1200000,1900000,1200000,1900000,1200000,1200000,1200000,1200909,1200000,1894583,1200000,1887812,1200000,1895372,1200000,1995325,1900000,1894007,1200000,1895501,1200000,1894781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
