timestamp,CPU0,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,CPU7,CPU8,CPU9,CPU10,CPU11,CPU12,CPU13,CPU14,CPU15,CPU16,CPU17,CPU18,CPU19,CPU20,CPU21,CPU22,CPU23,CPU24,CPU25,CPU26,CPU27,CPU28,CPU29,CPU30,CPU31,CPU32,CPU33,CPU34,CPU35,CPU36,CPU37,CPU38,CPU39,CPU40,CPU41,CPU42,CPU43,CPU44,CPU45,CPU46,CPU47,CPU48,CPU49,CPU50,CPU51,CPU52,CPU53
2025-10-07 02:20:01,1187553,1396837,1793896,1295254,1868261,1200000,1200000,1200000,1200000,1196330,1895659,1200656,1895642,1200000,1896317,1655103,1197290,1196982,2485422,1197309,1259033,1698921,1800338,1209986,1995556,1200000,1192270,1200000,0,0,0,1197349,1231235,1193515,1967462,1197275,1343378,1223902,1877809,1200000,1200000,1200000,1209008,1895658,1200000,1897539,1213098,1200000,1197383,1196023,1721512,1200000,1998003,1197928
2025-10-07 02:20:03,1197281,1200000,1197282,1200000,1199320,1332804,1995236,1200000,1895181,1200000,1898090,1200000,1995391,1200000,1995829,1200000,1896248,1200000,1894699,1200000,1894810,1200000,1896865,1200000,1894604,1200000,1996020,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-07 02:20:04,1200000,1207124,1200000,3000000,1197277,1250070,1895948,1200000,1895315,1200000,1896901,1200000,1895414,1209127,1997307,1200000,1895687,1200000,1895947,1200000,1894591,1200000,1895462,1200000,1896008,1200000,1895745,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-07 02:20:05,1895730,1200000,1200000,3000000,1895454,1732575,1995577,1197266,1994962,1200000,1895548,1200000,1895663,1200000,1897522,1200000,1897302,1200000,1895662,1200000,1894043,1200000,1895647,1200000,1895687,1200000,1994272,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-07 02:20:06,1200000,1200000,1900000,1200000,1900000,1197250,1197249,1205480,1898243,1200000,1925110,1200000,1893699,1200000,1895619,1200000,1896499,1200000,1894996,1200000,1895744,1200000,1895491,1200000,1995474,1200000,1884169,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-07 02:20:07,1200000,1200000,1197257,3000000,1200000,1289425,1200000,1200000,1900000,1200000,2000000,1200000,1993242,1200000,1895803,1200000,1995216,1200000,1236409,1200000,1893376,1200000,1895753,1184234,1896449,1200000,1995721,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-07 02:20:08,1200000,3000000,1197223,3000000,1197328,1738945,1896025,1200000,1896118,1200000,1197254,1200000,2100000,1200000,1197324,1200000,1895397,1200000,1885769,1200000,1197914,1200000,1894747,1900000,2004617,1200000,1895648,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-07 02:20:09,1200000,1200000,1200000,1200000,1197249,1414288,1197350,1200000,1897552,1200000,1197244,1200000,1890425,1200000,1197591,1200000,1895643,1200000,1896213,1200000,1895978,1200000,1899495,1200000,1896202,1200000,1898134,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-07 02:20:10,1200000,1200000,1200000,1200000,1200000,1197581,1200000,1185694,1897681,1200000,1900000,1200000,2000000,1200000,1197307,1200000,1995461,1200000,1995417,1200000,1896296,1200000,1996917,1200000,1893550,1200000,1993815,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-07 02:20:11,1200000,1197181,1200000,1200000,1895644,1478428,1995414,1200000,2000398,1200000,1197072,1200000,1887697,1200000,1895832,1200000,1882584,1200000,1197349,1200000,1995403,1200000,1972314,1200000,1895489,1200000,1895097,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-07 02:20:13,1200000,1197124,1410515,1200000,1895614,1230164,1995206,1196730,1197235,1200000,1895672,1200000,1843793,1200000,1896356,1200000,1895611,1200000,1995552,1200000,2498456,1200000,1897806,1200000,1994414,1200000,1995718,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-07 02:20:14,1197580,1200000,1197250,1200000,1898639,1707551,1897459,1200000,1571234,1200000,1896199,1200000,1895787,1200000,1197615,1200000,1898329,1200000,1895810,1200000,1897654,1200000,1896790,1200000,1897186,1200000,1997654,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-07 02:20:15,1200000,1198178,1200000,1200000,1895914,1721774,1889070,1197180,1897081,1200000,1994858,1200000,1894838,1200000,1896149,1200000,1895559,1200000,1897813,1200000,1896703,1200000,1995461,1200000,1895650,1200000,1895592,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-07 02:20:16,1197235,1197105,1895956,1200000,1884688,1299738,1896520,1200000,1895990,1200000,1995207,1200000,1199172,1200000,1896137,1200000,1994750,1200000,1894883,1200000,1998029,1200000,1897548,1200000,1997006,1200000,1895687,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-07 02:20:17,1197237,3000000,1896253,3000000,1836337,1910594,1895324,1200000,1895936,1200000,1894893,1200000,1996765,1200000,1895676,1200000,1895698,1200000,1895635,1200000,1998143,1200000,1995756,1200000,1995412,1200000,1995448,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
