timestamp,CPU0,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,CPU7,CPU8,CPU9,CPU10,CPU11,CPU12,CPU13,CPU14,CPU15,CPU16,CPU17,CPU18,CPU19,CPU20,CPU21,CPU22,CPU23,CPU24,CPU25,CPU26,CPU27,CPU28,CPU29,CPU30,CPU31,CPU32,CPU33,CPU34,CPU35,CPU36,CPU37,CPU38,CPU39,CPU40,CPU41,CPU42,CPU43,CPU44,CPU45,CPU46,CPU47,CPU48,CPU49,CPU50,CPU51,CPU52,CPU53,CPU54
2025-10-07 02:40:01,1200000,1200000,1776043,1197225,1197301,1197208,1215758,1197198,1197197,1197205,1200000,1200000,1200000,1200000,1203479,2056404,1200000,1200000,1200000,1200000,1895676,1216932,1599560,1895447,1197515,1998318,1701963,1895559,0,0,1204585,1900000,1200000,1200000,1200000,1202916,1200000,1752117,1200000,1200000,1200000,1200000,1995116,2494213,1198220,2494176,1700115,1538715,1895580,1197202,1895580,1189105,1200000,1200000,1200000
2025-10-07 02:40:02,1198054,1207985,1897882,1200000,1895526,1200000,1935919,1200000,1886259,1200000,1895587,1200000,1896522,1200000,1895427,1200000,1197374,1200000,1895369,1200000,1894071,1200000,1895905,1200000,1924659,1200000,1894125,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-07 02:40:03,1200000,1776803,1198349,1197243,1942711,1199411,1907664,1200000,1894020,1200000,1895177,1200000,2005506,1200000,1994807,1200000,1995796,1200000,1895431,1200000,1995347,1200000,1895875,1200000,1999380,1200000,1998056,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-07 02:40:04,1200000,3000000,2000000,1197226,1197952,1200000,1895562,1200000,1895519,1200000,1965388,1200000,1908805,1200000,1895558,1200000,1895382,1200000,1995347,1200000,1895817,1200000,1895592,1200000,1895046,1200000,1896638,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-07 02:40:05,1200000,1197163,2000000,1196027,1195824,1197205,1896088,1200000,1897399,1200000,1894532,1200000,1995365,1200000,1883747,1200000,1896421,1200000,1895139,1200000,1897039,1200000,1995330,1200000,1895191,1200000,1894055,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-07 02:40:06,1200000,1947566,1200000,1197252,1200000,1200000,1200000,1200000,1197203,1200000,1896819,1200000,1895574,1200000,1895379,1200000,1896484,1200000,1994619,1200000,1895488,1200000,1895740,1200000,2025950,1200000,1897633,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-07 02:40:07,1200000,1252496,1200000,1193598,1200000,1200000,1972179,1200000,1200000,1200000,1200000,1200000,1197171,1200000,1894902,1200000,2011802,1200000,1900330,1200000,1895113,1200000,1895526,1200000,1916092,1200000,1895382,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-07 02:40:08,1896322,1769916,1900000,1197341,1200000,1200000,2000000,1200000,1200000,1200000,2000000,1200000,1901798,1200000,2474137,1200000,1995909,1200000,1995347,1200000,1996894,1200000,1896668,1200000,1893111,1200000,1995305,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-07 02:40:10,1200000,1197384,2000000,1197350,1200000,1200000,1900000,1200000,2000000,1200000,1900000,1200000,1900000,1200000,1895637,1200000,1996836,1200000,1995064,1200000,1895555,1200000,1994717,1200000,2036254,1200000,1985585,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-07 02:40:11,1200000,1226810,2000000,1300000,1197126,1996212,1200000,1197790,1197180,1200000,1774496,1200000,1896131,1200000,1899521,1200000,1995356,1200000,1996417,1200000,1895531,1200000,1996766,1200000,1895192,1200000,1895627,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-07 02:40:12,1197286,3000000,1200000,1200000,1897224,2100000,1896227,1200000,1953626,1200000,1895535,1200000,1896408,1200000,1200000,1200000,1197196,1200000,1197202,1200000,1995347,1200000,1995296,1200000,1896589,1200000,1904577,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-07 02:40:13,1197168,3000000,1197187,1197291,1893451,1200000,1894520,1200000,1895595,1200000,1896222,1200000,1895192,1200000,1895616,1200000,1895686,1200000,1996473,1200000,2005799,1200000,1894491,1200000,1896525,1200000,1894949,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
